batchId,startFecha,startHora,startFechaHoraISO,endFecha,endHora,endFechaHoraISO,pn,piezasTotales,startAccum,endAccum,stations_json
D09242025S2C5,9/24/2025,6:51:37 PM,2025-09-24T6:51:37 PM,9/24/2025,22:30:00,2025-09-24T22:30:00,"WG REA STELLANTIS CA027",260,0,260,"[{""station"":""620"",""ok"":286,""nok"":0},{""station"":""730"",""ok"":284,""nok"":1},{""station"":""731"",""ok"":283,""nok"":0},{""station"":""750"",""ok"":281,""nok"":0},{""station"":""810"",""ok"":283,""nok"":2},{""station"":""915"",""ok"":301,""nok"":0},{""station"":""940"",""ok"":296,""nok"":1},{""station"":""960"",""ok"":282,""nok"":4},{""station"":""CHW"",""ok"":288,""nok"":2},{""station"":""CCC"",""ok"":289,""nok"":0},{""station"":""MAT"",""ok"":281,""nok"":0},{""station"":""EOL"",""ok"":260,""nok"":13}]"
D09242025S3C1,9/24/2025,22:30:00,2025-09-24T22:30:00,9/25/2025,07:00:00,2025-09-25T07:00:00,"WG REA STELLANTIS CA027",1094,1,1095,"[{""station"":""620"",""ok"":1118,""nok"":3},{""station"":""730"",""ok"":1152,""nok"":1},{""station"":""731"",""ok"":1131,""nok"":25},{""station"":""750"",""ok"":1119,""nok"":0},{""station"":""810"",""ok"":1117,""nok"":2},{""station"":""915"",""ok"":1121,""nok"":1},{""station"":""940"",""ok"":1116,""nok"":4},{""station"":""960"",""ok"":1107,""nok"":4},{""station"":""CHW"",""ok"":1123,""nok"":12},{""station"":""CCC"",""ok"":1121,""nok"":2},{""station"":""MAT"",""ok"":1120,""nok"":12},{""station"":""EOL"",""ok"":1094,""nok"":11}]"
D09252025S1C1,9/25/2025,07:00:00,2025-09-25T07:00:00,9/25/2025,15:00:00,2025-09-25T15:00:00,"WG REA STELLANTIS CA027",979,1098,978,"[{""station"":""620"",""ok"":1006,""nok"":0},{""station"":""730"",""ok"":1010,""nok"":0},{""station"":""731"",""ok"":1009,""nok"":0},{""station"":""750"",""ok"":1007,""nok"":0},{""station"":""810"",""ok"":1009,""nok"":5},{""station"":""915"",""ok"":1009,""nok"":0},{""station"":""940"",""ok"":1002,""nok"":6},{""station"":""960"",""ok"":992,""nok"":1},{""station"":""CHW"",""ok"":1007,""nok"":36},{""station"":""CCC"",""ok"":1006,""nok"":1},{""station"":""MAT"",""ok"":1007,""nok"":3},{""station"":""EOL"",""ok"":979,""nok"":13}]"
D09252025S2C1,9/25/2025,15:00:00,2025-09-25T15:00:00,9/25/2025,22:30:00,2025-09-25T22:30:00,"WG REA STELLANTIS CA027",971,981,1,"[{""station"":""620"",""ok"":1008,""nok"":0},{""station"":""730"",""ok"":1009,""nok"":0},{""station"":""731"",""ok"":1009,""nok"":0},{""station"":""750"",""ok"":1006,""nok"":0},{""station"":""810"",""ok"":1008,""nok"":1},{""station"":""915"",""ok"":1010,""nok"":0},{""station"":""940"",""ok"":1000,""nok"":6},{""station"":""960"",""ok"":990,""nok"":6},{""station"":""CHW"",""ok"":1009,""nok"":18},{""station"":""CCC"",""ok"":1009,""nok"":1},{""station"":""MAT"",""ok"":1007,""nok"":1},{""station"":""EOL"",""ok"":971,""nok"":18}]"
D09252025S3C1,9/25/2025,22:30:00,2025-09-25T22:30:00,9/26/2025,2:47:39 AM,2025-09-26T2:47:39 AM,"WG REA STELLANTIS CA027",458,4,0,"[{""station"":""620"",""ok"":462,""nok"":0},{""station"":""730"",""ok"":461,""nok"":0},{""station"":""731"",""ok"":462,""nok"":0},{""station"":""750"",""ok"":469,""nok"":0},{""station"":""810"",""ok"":473,""nok"":55},{""station"":""915"",""ok"":471,""nok"":0},{""station"":""940"",""ok"":473,""nok"":3},{""station"":""960"",""ok"":467,""nok"":2},{""station"":""CHW"",""ok"":455,""nok"":16},{""station"":""CCC"",""ok"":458,""nok"":3},{""station"":""MAT"",""ok"":468,""nok"":1},{""station"":""EOL"",""ok"":458,""nok"":16}]"
D09252025S3C2,9/26/2025,2:48:39 AM,2025-09-26T2:48:39 AM,9/26/2025,6:35:39 AM,2025-09-26T6:35:39 AM,"WG REA STELLANTIS CA027 REWORK NO BRANSON",317,0,0,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":367,""nok"":150},{""station"":""960"",""ok"":336,""nok"":28},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":317,""nok"":15}]"
D09252025S3C3,9/26/2025,6:36:39 AM,2025-09-26T6:36:39 AM,9/26/2025,07:00:00,2025-09-26T07:00:00,"WG REA STELLANTIS CA027 REWORK EOL",27,0,3,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":27,""nok"":0}]"
D09262025S1C1,9/26/2025,07:00:00,2025-09-26T07:00:00,9/26/2025,9:42:39 AM,2025-09-26T9:42:39 AM,"WG REA STELLANTIS CA027 REWORK EOL",96,5,0,"[{""station"":""620"",""ok"":0,""nok"":0},{""station"":""730"",""ok"":0,""nok"":0},{""station"":""731"",""ok"":0,""nok"":0},{""station"":""750"",""ok"":0,""nok"":0},{""station"":""810"",""ok"":0,""nok"":0},{""station"":""915"",""ok"":0,""nok"":0},{""station"":""940"",""ok"":0,""nok"":0},{""station"":""960"",""ok"":0,""nok"":0},{""station"":""CHW"",""ok"":0,""nok"":0},{""station"":""CCC"",""ok"":0,""nok"":0},{""station"":""MAT"",""ok"":0,""nok"":0},{""station"":""EOL"",""ok"":96,""nok"":8}]"
D09262025S1C2,9/26/2025,9:43:39 AM,2025-09-26T9:43:39 AM,9/26/2025,15:00:00,2025-09-26T15:00:00,"WG REA FORD CA030",18,0,18,"[{""station"":""620"",""ok"":70,""nok"":0},{""station"":""730"",""ok"":78,""nok"":0},{""station"":""731"",""ok"":77,""nok"":0},{""station"":""750"",""ok"":68,""nok"":0},{""station"":""810"",""ok"":60,""nok"":0},{""station"":""915"",""ok"":49,""nok"":0},{""station"":""940"",""ok"":36,""nok"":5},{""station"":""960"",""ok"":30,""nok"":0},{""station"":""CHW"",""ok"":81,""nok"":6},{""station"":""CCC"",""ok"":74,""nok"":0},{""station"":""MAT"",""ok"":68,""nok"":1},{""station"":""EOL"",""ok"":18,""nok"":0}]"
D09262025S2C1,9/26/2025,15:00:00,2025-09-26T15:00:00,9/26/2025,22:30:00,2025-09-26T22:30:00,"WG REA FORD CA030",599,18,2,"[{""station"":""620"",""ok"":655,""nok"":13},{""station"":""730"",""ok"":659,""nok"":0},{""station"":""731"",""ok"":660,""nok"":0},{""station"":""750"",""ok"":654,""nok"":0},{""station"":""810"",""ok"":660,""nok"":2},{""station"":""915"",""ok"":659,""nok"":0},{""station"":""940"",""ok"":646,""nok"":9},{""station"":""960"",""ok"":616,""nok"":11},{""station"":""CHW"",""ok"":670,""nok"":22},{""station"":""CCC"",""ok"":665,""nok"":4},{""station"":""MAT"",""ok"":655,""nok"":0},{""station"":""EOL"",""ok"":599,""nok"":12}]"
